Distribution	ConditionalVariable	test_method	groups_compared	group_means	max_mean_diff	test_pval	test_pval_corrected
pclass	class	kruskal	3	{'First': 1.0, 'Second': 2.0, 'Third': 3.0}	2.0	5.482208555496803e-194	1.644662566649041e-192
sibsp	alone	kruskal	2	{False: 1.3163841807909604, True: 0.0}	1.3163841807909604	8.765677671283635e-135	1.3148516506925453e-133
fare	class	kruskal	3	{'First': 84.1546875, 'Second': 20.662183152173913, 'Third': 13.675550101832993}	70.479137398167	7.586096900646798e-96	7.586096900646797e-95
parch	alone	kruskal	2	{False: 0.96045197740113, True: 0.0}	0.96045197740113	1.7675471246931907e-92	1.325660343519893e-91
fare	alone	kruskal	2	{False: 48.83227542372882, True: 21.242688640595905}	27.589586783132912	1.2912674695515616e-56	7.74760481730937e-56
pclass	survived	kruskal	2	{0: 2.5318761384335153, 1: 1.9502923976608186}	0.5815837407726967	3.932785644652686e-24	1.9663928223263427e-23
pclass	deck	kruskal	6	{'A': 1.0, 'B': 1.0, 'C': 1.0, 'D': 1.121212121212121, 'E': 1.3125, 'F': 2.3846153846153846}	1.3846153846153846	3.991289889695481e-23	1.7105528098694916e-22
fare	survived	kruskal	2	{0: 22.117886885245902, 1: 48.39540760233918}	26.27752071709328	4.547532067492866e-22	1.705324525309825e-21
age	class	kruskal	3	{'First': 38.233440860215055, 'Second': 29.87763005780347, 'Third': 25.14061971830986}	13.092821141905194	1.4288798296552103e-21	4.762932765517368e-21
pclass	embark_town	kruskal	3	{'Cherbourg': 1.8869047619047619, 'Queenstown': 2.909090909090909, 'Southampton': 2.3509316770186337}	1.0221861471861473	6.614492514566775e-18	1.9843477543700326e-17
fare	embark_town	kruskal	3	{'Cherbourg': 59.95414404761905, 'Queenstown': 13.276029870129872, 'Southampton': 27.079811801242233}	46.67811417748918	6.970943556149538e-17	1.9011664244044197e-16
fare	sex	kruskal	2	{'female': 44.47981783439491, 'male': 25.523893414211443}	18.955924420183464	9.602023842231336e-15	2.4005059605578338e-14
parch	sex	kruskal	2	{'female': 0.6496815286624203, 'male': 0.23570190641247835}	0.413979622249942	3.130116396634609e-14	7.223345530695252e-14
fare	deck	kruskal	6	{'A': 39.623886666666664, 'B': 113.50576382978724, 'C': 100.1513406779661, 'D': 57.24457575757575, 'E': 46.02669375, 'F': 18.69679230769231}	94.80897152209494	9.434833949885685e-11	2.021750132118361e-10
sibsp	sex	kruskal	2	{'female': 0.6942675159235668, 'male': 0.42980935875216636}	0.2644581571714005	5.7626373350111195e-09	1.1525274670022239e-08
age	alone	kruskal	2	{False: 26.413451612903227, True: 32.22029702970297}	5.806845416799742	7.929505056477056e-06	1.4867821980894481e-05
parch	survived	kruskal	2	{0: 0.3296903460837887, 1: 0.4649122807017544}	0.13522193461796567	3.70959781125542e-05	6.546349078686035e-05
pclass	alone	kruskal	2	{False: 2.169491525423729, True: 2.4003724394785846}	0.23088091405485578	5.031628951132061e-05	8.068226063789055e-05
pclass	sex	kruskal	2	{'female': 2.159235668789809, 'male': 2.389948006932409}	0.23071233814259973	5.109876507066401e-05	8.068226063789055e-05
sibsp	survived	kruskal	2	{0: 0.5537340619307832, 1: 0.47368421052631576}	0.08004985140446746	0.008012801450659473	0.01201920217598921
parch	embark_town	kruskal	3	{'Cherbourg': 0.3630952380952381, 'Queenstown': 0.16883116883116883, 'Southampton': 0.41304347826086957}	0.24421230942970074	0.011813093685278086	0.01687584812182584
age	deck	kruskal	6	{'A': 44.833333333333336, 'B': 34.955555555555556, 'C': 36.086666666666666, 'D': 39.03225806451613, 'E': 38.11666666666667, 'F': 19.954545454545453}	24.878787878787882	0.014253157086448557	0.01943612329970258
age	sex	kruskal	2	{'female': 27.915708812260537, 'male': 30.72664459161148}	2.8109357793509417	0.02607509661801354	0.03401099558871331
sibsp	deck	kruskal	6	{'A': 0.13333333333333333, 'B': 0.3617021276595745, 'C': 0.6440677966101694, 'D': 0.42424242424242425, 'E': 0.3125, 'F': 0.5384615384615384}	0.5107344632768361	0.06541704457951118	0.08177130572438897
age	survived	kruskal	2	{0: 30.62617924528302, 1: 28.343689655172415}	2.282489590110604	0.16043746252207006	0.18571228675962742
parch	deck	kruskal	6	{'A': 0.13333333333333333, 'B': 0.574468085106383, 'C': 0.4745762711864407, 'D': 0.30303030303030304, 'E': 0.3125, 'F': 0.5384615384615384}	0.4411347517730497	0.16095064852501043	0.18571228675962742
sibsp	embark_town	kruskal	3	{'Cherbourg': 0.3869047619047619, 'Queenstown': 0.42857142857142855, 'Southampton': 0.5714285714285714}	0.18452380952380948	0.338296546764675	0.37588505196075
sibsp	class	kruskal	3	{'First': 0.4166666666666667, 'Second': 0.40217391304347827, 'Third': 0.615071283095723}	0.21289737005224474	0.437287059611005	0.46852184958321963
age	embark_town	kruskal	3	{'Cherbourg': 30.81476923076923, 'Queenstown': 28.089285714285715, 'Southampton': 29.44539711191336}	2.7254835164835143	0.5356862358343728	0.5541581750010753
parch	class	kruskal	3	{'First': 0.35648148148148145, 'Second': 0.3804347826086957, 'Third': 0.39307535641547864}	0.036593874933997184	0.5917774954008541	0.5917774954008541
